Year,SO2,NO2,O3,CO,PM10,PM2.5
2017,0.003205438356164361,0.027870420091324333,0.023104132420091426,0.5178643835616472,44.37972602739728,24.565429223744268
2018,-0.0010971826484018196,0.023506593607305976,0.018097095890410936,0.4945652968036538,41.76515981735157,24.13234246575331
2019,-0.007743251695781281,0.0159006594908414,0.012499556630665671,0.5154632273053901,45.04010480931396,27.639216917707593
