"city","year","so2","no2","o3","co","pm10","pm2.5"
"Delhi",2017,"23.8","57.66","42.24","0.7","264.41","125.09"
"New York",2017,"2.8794520547945206","38.134246575342466","46.106849315068494","7.210958904109589","14.6","49.53972602739726"
"Seoul",2017,"0.003205438356164361","0.02787042009132433","0.023104132420091426","0.5178643835616472","44.37972602739728","24.565429223744268"
