"city","year","so2","no2","o3","co","pm10","pm2.5"
"Delhi",2019,"14.03","45.24","38.94","1.37","215.05","108.5"
"New York",2019,"3.049315068","38.39452055","47.12328767","8.15890411","14.34745763","50.05753425"
"Seoul",2019,"-0.007743251695781281","0.0159006594908414","0.012499556630665673","0.5154632273053901","45.040104809313966","27.639216917707596"
