Date,Carbon Monoxide AQI Value,Main Pollutant,Site Name,Site ID,Source,Nitrogen Dioxide AQI Value,Main Pollutant,Site Name,Site ID,Source,Ozone AQI Value,Main Pollutant,Site Name,Site ID,Source,PM2.5 AQI Value,Main Pollutant,Site Name,Site ID,Source,Sulfur Dioxide AQI Value,Main Pollutant,Site Name,Site ID,Source,PM10 AQI Value,Main Pollutant,Site Name,Site ID,Source
1/24/2017,3,,Newark Firehouse,34-013-0003,AQS,30,,Fort Lee Near Road,34-003-0010,AQS,36,,HOLTSVILLE,36-103-0009,AQS,30,,PS 19,36-061-0128,AQS,1,,IS 52,36-005-0110,AQS,,,,,
1/25/2017,8,,Jersey City,34-017-1002,AQS,44,,IS 52,36-005-0110,AQS,32,,MT NINHAM,36-079-0005,AQS,38,,Intermediate School 143,36-061-0115,AQS,3,,IS 52,36-005-0110,AQS,10,,DIVISION STREET,36-061-0134,AQS
1/26/2017,10,,Jersey City,34-017-1002,AQS,47,,Jersey City,34-017-1002,AQS,35,,MT NINHAM,36-079-0005,AQS,63,,NEWBURGH,36-071-0002,AQS,6,,PFIZER LAB SITE,36-005-0133,AQS,,,,,
1/27/2017,6,,Jersey City,34-017-1002,AQS,23,,Bayonne,34-017-0006,AQS,30,,MILLBROOK,36-027-0007,AQS,38,,Intermediate School 143,36-061-0115,AQS,1,,PFIZER LAB SITE,36-005-0133,AQS,,,,,
1/28/2017,6,,Jersey City,34-017-1002,AQS,29,,Fort Lee Near Road,34-003-0010,AQS,28,,MILLBROOK,36-027-0007,AQS,36,,Newark Firehouse,34-013-0003,AQS,1,,IS 52,36-005-0110,AQS,,,,,
1/29/2017,7,,Jersey City,34-017-1002,AQS,38,,QUEENS COLLEGE 2,36-081-0124,AQS,32,,Chester,34-027-3001,AQS,52,,HOLTSVILLE,36-103-0009,AQS,3,,QUEENS COLLEGE 2,36-081-0124,AQS,,,,,
1/30/2017,5,,Newark Firehouse,34-013-0003,AQS,42,,Elizabeth Lab,34-039-0004,AQS,38,,MT NINHAM,36-079-0005,AQS,41,,HOLTSVILLE,36-103-0009,AQS,3,,IS 52,36-005-0110,AQS,,,,,
1/31/2017,11,,Elizabeth,34-039-0003,AQS,63,,Fort Lee Near Road,34-003-0010,AQS,31,,MT NINHAM,36-079-0005,AQS,56,,Elizabeth Lab,34-039-0004,AQS,13,,EISENHOWER PARK,36-059-0005,AQS,15,,Jersey City Firehouse,34-017-1003,AQS
2/1/2017,10,,Newark Firehouse,34-013-0003,AQS,55,,IS 52,36-005-0110,AQS,37,,MT NINHAM,36-079-0005,AQS,52,,Jersey City Firehouse,34-017-1003,AQS,4,,QUEENS COLLEGE 2,36-081-0124,AQS,18,,DIVISION STREET,36-061-0134,AQS
2/2/2017,6,,Jersey City,34-017-1002,AQS,42,,Fort Lee Near Road,34-003-0010,AQS,36,,MT NINHAM,36-079-0005,AQS,45,,Elizabeth Lab,34-039-0004,AQS,4,,QUEENS COLLEGE 2,36-081-0124,AQS,,,,,
2/3/2017,5,,Jersey City,34-017-1002,AQS,36,,Jersey City,34-017-1002,AQS,38,,MT NINHAM,36-079-0005,AQS,45,,MORRISANIA,36-005-0080,AQS,3,,QUEENS COLLEGE 2,36-081-0124,AQS,8,,Newark Firehouse,34-013-0003,AQS
2/4/2017,6,,Jersey City,34-017-1002,AQS,31,,Jersey City,34-017-1002,AQS,40,,MT NINHAM,36-079-0005,AQS,85,,Toms River,34-029-2002,AQS,1,,Chester,34-027-3001,AQS,,,,,
2/5/2017,7,,Jersey City,34-017-1002,AQS,35,,PFIZER LAB SITE,36-005-0133,AQS,33,,MILLBROOK,36-027-0007,AQS,61,,Flemington,34-019-0001,AQS,3,,IS 52,36-005-0110,AQS,,,,,
2/6/2017,8,,Newark Firehouse,34-013-0003,AQS,49,,IS 52,36-005-0110,AQS,39,,MILLBROOK,36-027-0007,AQS,89,,Toms River,34-029-2002,AQS,3,,QUEENS COLLEGE 2,36-081-0124,AQS,22,,Newark Firehouse,34-013-0003,AQS
2/7/2017,13,,Newark Firehouse,34-013-0003,AQS,53,,Bayonne,34-017-0006,AQS,30,,MILLBROOK,36-027-0007,AQS,85,,Elizabeth Lab,34-039-0004,AQS,9,,EISENHOWER PARK,36-059-0005,AQS,,,,,
2/8/2017,14,,Elizabeth,34-039-0003,AQS,54,,PFIZER LAB SITE,36-005-0133,AQS,32,,Colliers Mills,34-029-0006,AQS,63,,Elizabeth Lab,34-039-0004,AQS,6,,IS 52,36-005-0110,AQS,,,,,
2/9/2017,5,,Newark Firehouse,34-013-0003,AQS,30,,Rutgers University,34-023-0011,AQS,38,,Flemington,34-019-0001,AQS,34,,PS 19,36-061-0128,AQS,1,,IS 52,36-005-0110,AQS,5,,Newark Firehouse,34-013-0003,AQS
2/10/2017,5,,Jersey City,34-017-1002,AQS,40,,Fort Lee Near Road,34-003-0010,AQS,38,,MT NINHAM,36-079-0005,AQS,38,,Intermediate School 143,36-061-0115,AQS,1,,IS 52,36-005-0110,AQS,,,,,
2/11/2017,15,,Elizabeth,34-039-0003,AQS,55,,IS 52,36-005-0110,AQS,34,,Chester,34-027-3001,AQS,62,,Intermediate School 143,36-061-0115,AQS,6,,PFIZER LAB SITE,36-005-0133,AQS,,,,,
2/12/2017,17,,Elizabeth,34-039-0003,AQS,47,,Elizabeth Lab,34-039-0004,AQS,31,,MILLBROOK,36-027-0007,AQS,57,,Elizabeth Lab,34-039-0004,AQS,3,,Elizabeth,34-039-0003,AQS,16,,DIVISION STREET,36-061-0134,AQS
2/13/2017,7,,Elizabeth Lab,34-039-0004,AQS,28,,QUEENS COLLEGE 2,36-081-0124,AQS,35,,Flemington,34-019-0001,AQS,58,,NEWBURGH,36-071-0002,AQS,3,,IS 52,36-005-0110,AQS,,,,,
2/14/2017,7,,Jersey City,34-017-1002,AQS,50,,Bayonne,34-017-0006,AQS,39,,MILLBROOK,36-027-0007,AQS,78,,NEWBURGH,36-071-0002,AQS,6,,QUEENS COLLEGE 2,36-081-0124,AQS,,,,,
2/15/2017,10,,Newark Firehouse,34-013-0003,AQS,63,,Bayonne,34-017-0006,AQS,39,,VALLEY CENTRAL HIGH SCHOOL,36-071-5001,AQS,62,,Paterson,34-031-0005,AQS,7,,PFIZER LAB SITE,36-005-0133,AQS,17,,Newark Firehouse,34-013-0003,AQS
2/16/2017,3,,Newark Firehouse,34-013-0003,AQS,21,,Bayonne,34-017-0006,AQS,34,,MT NINHAM,36-079-0005,AQS,41,,PS 19,36-061-0128,AQS,3,,QUEENS COLLEGE 2,36-081-0124,AQS,,,,,
2/17/2017,5,,Newark Firehouse,34-013-0003,AQS,47,,Bayonne,34-017-0006,AQS,42,,MILLBROOK,36-027-0007,AQS,66,,NEWBURGH,36-071-0002,AQS,3,,PFIZER LAB SITE,36-005-0133,AQS,,,,,
2/18/2017,10,,Newark Firehouse,34-013-0003,AQS,56,,QUEENS COLLEGE 2,36-081-0124,AQS,51,,Chester,34-027-3001,AQS,82,,NEWBURGH,36-071-0002,AQS,4,,IS 52,36-005-0110,AQS,26,,QUEENS COLLEGE 2,36-081-0124,AQS
2/19/2017,8,,Newark Firehouse,34-013-0003,AQS,56,,Bayonne,34-017-0006,AQS,47,,Colliers Mills,34-029-0006,AQS,60,,PS 19,36-061-0128,AQS,4,,PFIZER LAB SITE,36-005-0133,AQS,,,,,
2/20/2017,8,,Newark Firehouse,34-013-0003,AQS,25,,Fort Lee Near Road,34-003-0010,AQS,44,,Flemington,34-019-0001,AQS,55,,NEWBURGH,36-071-0002,AQS,3,,PFIZER LAB SITE,36-005-0133,AQS,,,,,
2/21/2017,7,,Elizabeth,34-039-0003,AQS,51,,Bayonne,34-017-0006,AQS,44,,Colliers Mills,34-029-0006,AQS,75,,NEWBURGH,36-071-0002,AQS,3,,Elizabeth,34-039-0003,AQS,,,,,
2/22/2017,9,,Elizabeth,34-039-0003,AQS,55,,PFIZER LAB SITE,36-005-0133,AQS,37,,RIVERHEAD,36-103-0004,AQS,62,,Rahway,34-039-2003,AQS,3,,IS 52,36-005-0110,AQS,,,,,
2/23/2017,14,,Elizabeth,34-039-0003,AQS,60,,IS 52,36-005-0110,AQS,41,,Colliers Mills,34-029-0006,AQS,79,,Jersey City Firehouse,34-017-1003,AQS,6,,Elizabeth,34-039-0003,AQS,,,,,
2/24/2017,13,,Elizabeth,34-039-0003,AQS,51,,IS 52,36-005-0110,AQS,44,,Chester,34-027-3001,AQS,49,,IS 74,36-005-0112,AQS,3,,IS 52,36-005-0110,AQS,25,,IS 52,36-005-0110,AQS
2/25/2017,6,,Elizabeth,34-039-0003,AQS,34,,Newark Firehouse,34-013-0003,AQS,40,,Flemington,34-019-0001,AQS,32,,Newark Firehouse,34-013-0003,AQS,1,,Newark Firehouse,34-013-0003,AQS,,,,,
2/26/2017,3,,Newark Firehouse,34-013-0003,AQS,24,,Newark Firehouse,34-013-0003,AQS,36,,Leonia,34-003-0006,AQS,38,,PS 19,36-061-0128,AQS,3,,QUEENS COLLEGE 2,36-081-0124,AQS,,,,,
2/27/2017,5,,QUEENS COLLEGE 2,36-081-0124,AQS,46,,Elizabeth Lab,34-039-0004,AQS,41,,Colliers Mills,34-029-0006,AQS,53,,PS 19,36-061-0128,AQS,6,,QUEENS COLLEGE 2,36-081-0124,AQS,12,,Newark Firehouse,34-013-0003,AQS
2/28/2017,11,,Elizabeth,34-039-0003,AQS,53,,Newark Firehouse,34-013-0003,AQS,43,,Colliers Mills,34-029-0006,AQS,57,,Elizabeth Lab,34-039-0004,AQS,4,,Elizabeth,34-039-0003,AQS,,,,,
3/1/2017,8,,Elizabeth,34-039-0003,AQS,42,,IS 52,36-005-0110,AQS,38,,RIVERHEAD,36-103-0004,AQS,52,,Intermediate School 143,36-061-0115,AQS,1,,Jersey City,34-017-1002,AQS,,,,,
3/2/2017,2,,Newark Firehouse,34-013-0003,AQS,21,,Fort Lee Near Road,34-003-0010,AQS,44,,Leonia,34-003-0006,AQS,41,,PS 19,36-061-0128,AQS,1,,Chester,34-027-3001,AQS,19,,Newark Firehouse,34-013-0003,AQS
3/3/2017,3,,Jersey City,34-017-1002,AQS,26,,Fort Lee Near Road,34-003-0010,AQS,40,,MILLBROOK,36-027-0007,AQS,55,,PS 19,36-061-0128,AQS,1,,PFIZER LAB SITE,36-005-0133,AQS,,,,,
3/4/2017,2,,Fort Lee Near Road,34-003-0010,AQS,15,,Fort Lee Near Road,34-003-0010,AQS,40,,Leonia,34-003-0006,AQS,54,,PS 19,36-061-0128,AQS,3,,QUEENS COLLEGE 2,36-081-0124,AQS,,,,,
3/5/2017,5,,Newark Firehouse,34-013-0003,AQS,41,,Elizabeth Lab,34-039-0004,AQS,40,,Leonia,34-003-0006,AQS,48,,PS 19,36-061-0128,AQS,3,,IS 52,36-005-0110,AQS,5,,Newark Firehouse,34-013-0003,AQS
3/6/2017,10,,Elizabeth Lab,34-039-0004,AQS,48,,Elizabeth Lab,34-039-0004,AQS,42,,Colliers Mills,34-029-0006,AQS,60,,Flemington,34-019-0001,AQS,4,,IS 52,36-005-0110,AQS,,,,,
3/7/2017,15,,Elizabeth,34-039-0003,AQS,51,,Fort Lee Near Road,34-003-0010,AQS,47,,RIVERHEAD,36-103-0004,AQS,66,,Newark Firehouse,34-013-0003,AQS,3,,Elizabeth,34-039-0003,AQS,,,,,
3/8/2017,13,,Elizabeth,34-039-0003,AQS,40,,Fort Lee Near Road,34-003-0010,AQS,47,,SUSAN WAGNER HS,36-085-0067,AQS,54,,MASPETH LIBRARY,36-081-0120,AQS,1,,Chester,34-027-3001,AQS,13,,DIVISION STREET,36-061-0134,AQS
3/9/2017,3,,Newark Firehouse,34-013-0003,AQS,23,,Elizabeth Lab,34-039-0004,AQS,50,,Colliers Mills,34-029-0006,AQS,52,,MASPETH LIBRARY,36-081-0120,AQS,1,,Chester,34-027-3001,AQS,,,,,
3/10/2017,5,,Elizabeth Lab,34-039-0004,AQS,32,,Elizabeth Lab,34-039-0004,AQS,41,,Ramapo,34-031-5001,AQS,35,,PS 19,36-061-0128,AQS,1,,IS 52,36-005-0110,AQS,,,,,
3/11/2017,3,,Elizabeth Lab,34-039-0004,AQS,12,,Fort Lee Near Road,34-003-0010,AQS,40,,Chester,34-027-3001,AQS,30,,Intermediate School 143,36-061-0115,AQS,3,,QUEENS COLLEGE 2,36-081-0124,AQS,5,,Newark Firehouse,34-013-0003,AQS
3/12/2017,3,,Elizabeth Lab,34-039-0004,AQS,15,,Fort Lee Near Road,34-003-0010,AQS,38,,Colliers Mills,34-029-0006,AQS,45,,NEWBURGH,36-071-0002,AQS,3,,QUEENS COLLEGE 2,36-081-0124,AQS,,,,,
3/13/2017,6,,Elizabeth,34-039-0003,AQS,39,,Fort Lee Near Road,34-003-0010,AQS,40,,Colliers Mills,34-029-0006,AQS,39,,NEWBURGH,36-071-0002,AQS,14,,EISENHOWER PARK,36-059-0005,AQS,,,,,
3/14/2017,5,,Jersey City,34-017-1002,AQS,25,,Elizabeth Lab,34-039-0004,AQS,40,,SUSAN WAGNER HS,36-085-0067,AQS,75,,PS 19,36-061-0128,AQS,3,,EISENHOWER PARK,36-059-0005,AQS,6,,Jersey City Firehouse,34-017-1003,AQS
3/15/2017,5,,Elizabeth Lab,34-039-0004,AQS,21,,IS 52,36-005-0110,AQS,42,,MT NINHAM,36-079-0005,AQS,33,,Intermediate School 143,36-061-0115,AQS,1,,PFIZER LAB SITE,36-005-0133,AQS,,,,,
3/16/2017,5,,Elizabeth Lab,34-039-0004,AQS,34,,Bayonne,34-017-0006,AQS,48,,Chester,34-027-3001,AQS,41,,MORRISANIA,36-005-0080,AQS,1,,IS 52,36-005-0110,AQS,,,,,
3/17/2017,6,,Newark Firehouse,34-013-0003,AQS,51,,Fort Lee Near Road,34-003-0010,AQS,51,,Flemington,34-019-0001,AQS,45,,Intermediate School 143,36-061-0115,AQS,3,,PFIZER LAB SITE,36-005-0133,AQS,13,,Newark Firehouse,34-013-0003,AQS
3/18/2017,13,,Elizabeth,34-039-0003,AQS,78,,QUEENS COLLEGE 2,36-081-0124,AQS,48,,MT NINHAM,36-079-0005,AQS,73,,PS 19,36-061-0128,AQS,4,,Elizabeth,34-039-0003,AQS,,,,,
3/19/2017,6,,Elizabeth Lab,34-039-0004,AQS,42,,Fort Lee Near Road,34-003-0010,AQS,51,,Leonia,34-003-0006,AQS,32,,Intermediate School 143,36-061-0115,AQS,3,,PFIZER LAB SITE,36-005-0133,AQS,,,,,
3/20/2017,7,,Elizabeth Lab,34-039-0004,AQS,60,,Fort Lee Near Road,34-003-0010,AQS,67,,Flemington,34-019-0001,AQS,39,,Intermediate School 143,36-061-0115,AQS,3,,IS 52,36-005-0110,AQS,12,,Jersey City Firehouse,34-017-1003,AQS
3/21/2017,7,,Elizabeth Lab,34-039-0004,AQS,60,,Fort Lee Near Road,34-003-0010,AQS,58,,MILLBROOK,36-027-0007,AQS,53,,PS 19,36-061-0128,AQS,4,,IS 52,36-005-0110,AQS,21,,DIVISION STREET,36-061-0134,AQS
3/22/2017,5,,Jersey City,34-017-1002,AQS,43,,Elizabeth Lab,34-039-0004,AQS,44,,Colliers Mills,34-029-0006,AQS,45,,NEWBURGH,36-071-0002,AQS,3,,QUEENS COLLEGE 2,36-081-0124,AQS,,,,,
3/23/2017,6,,Newark Firehouse,34-013-0003,AQS,50,,Fort Lee Near Road,34-003-0010,AQS,44,,Leonia,34-003-0006,AQS,39,,NEWBURGH,36-071-0002,AQS,7,,QUEENS COLLEGE 2,36-081-0124,AQS,7,,Newark Firehouse,34-013-0003,AQS
3/24/2017,7,,Newark Firehouse,34-013-0003,AQS,55,,QUEENS COLLEGE 2,36-081-0124,AQS,48,,Colliers Mills,34-029-0006,AQS,52,,Elizabeth Lab,34-039-0004,AQS,3,,IS 52,36-005-0110,AQS,,,,,
3/25/2017,10,,Elizabeth,34-039-0003,AQS,53,,Fort Lee Near Road,34-003-0010,AQS,37,,Colliers Mills,34-029-0006,AQS,68,,Elizabeth Lab,34-039-0004,AQS,6,,PFIZER LAB SITE,36-005-0133,AQS,,,,,
3/26/2017,7,,Elizabeth,34-039-0003,AQS,25,,Jersey City,34-017-1002,AQS,41,,MT NINHAM,36-079-0005,AQS,57,,PS 19,36-061-0128,AQS,0,,Newark Firehouse,34-013-0003,AQS,13,,DIVISION STREET,36-061-0134,AQS
3/27/2017,10,,Jersey City,34-017-1002,AQS,52,,Elizabeth Lab,34-039-0004,AQS,37,,RIVERHEAD,36-103-0004,AQS,65,,PS 19,36-061-0128,AQS,1,,Newark Firehouse,34-013-0003,AQS,,,,,
3/28/2017,11,,Elizabeth,34-039-0003,AQS,41,,IS 52,36-005-0110,AQS,37,,RIVERHEAD,36-103-0004,AQS,67,,Elizabeth Lab,34-039-0004,AQS,1,,Newark Firehouse,34-013-0003,AQS,,,,,
3/29/2017,5,,Newark Firehouse,34-013-0003,AQS,36,,QUEENS COLLEGE 2,36-081-0124,AQS,46,,SUSAN WAGNER HS,36-085-0067,AQS,24,,Elizabeth Lab,34-039-0004,AQS,1,,IS 52,36-005-0110,AQS,4,,Newark Firehouse,34-013-0003,AQS
3/30/2017,7,,Jersey City,34-017-1002,AQS,46,,Fort Lee Near Road,34-003-0010,AQS,44,,MILLBROOK,36-027-0007,AQS,35,,Elizabeth Lab,34-039-0004,AQS,4,,IS 52,36-005-0110,AQS,,,,,
3/31/2017,8,,Elizabeth,34-039-0003,AQS,42,,Jersey City,34-017-1002,AQS,44,,SUSAN WAGNER HS,36-085-0067,AQS,27,,Elizabeth Lab,34-039-0004,AQS,0,,Newark Firehouse,34-013-0003,AQS,,,,,
4/1/2017,5,,Elizabeth,34-039-0003,AQS,25,,Queens College Near Road,36-081-0125,AQS,42,,RIVERHEAD,36-103-0004,AQS,22,,PS 19,36-061-0128,AQS,1,,IS 52,36-005-0110,AQS,6,,DIVISION STREET,36-061-0134,AQS
4/2/2017,5,,Newark Firehouse,34-013-0003,AQS,36,,Jersey City,34-017-1002,AQS,45,,Leonia,34-003-0006,AQS,27,,Rahway,34-039-2003,AQS,1,,Chester,34-027-3001,AQS,,,,,
4/3/2017,13,,Elizabeth,34-039-0003,AQS,69,,Newark Firehouse,34-013-0003,AQS,49,,Colliers Mills,34-029-0006,AQS,55,,Elizabeth Lab,34-039-0004,AQS,9,,Newark Firehouse,34-013-0003,AQS,,,,,
4/4/2017,7,,Elizabeth,34-039-0003,AQS,56,,Elizabeth Lab,34-039-0004,AQS,44,,MILLBROOK,36-027-0007,AQS,55,,Elizabeth Lab,34-039-0004,AQS,1,,Bayonne,34-017-0006,AQS,12,,Newark Firehouse,34-013-0003,AQS
4/5/2017,7,,Jersey City,34-017-1002,AQS,42,,Jersey City,34-017-1002,AQS,43,,Flemington,34-019-0001,AQS,60,,Fort Lee Near Road,34-003-0010,AQS,9,,Bayonne,34-017-0006,AQS,,,,,
4/6/2017,7,,Jersey City,34-017-1002,AQS,45,,Jersey City,34-017-1002,AQS,42,,RIVERHEAD,36-103-0004,AQS,50,,PS 19,36-061-0128,AQS,1,,Chester,34-027-3001,AQS,,,,,
4/7/2017,7,,Jersey City,34-017-1002,AQS,26,,Jersey City,34-017-1002,AQS,39,,SUSAN WAGNER HS,36-085-0067,AQS,30,,JHS 126,36-047-0122,AQS,3,,QUEENS COLLEGE 2,36-081-0124,AQS,5,,Jersey City Firehouse,34-017-1003,AQS
4/8/2017,5,,Elizabeth Lab,34-039-0004,AQS,20,,Newark Firehouse,34-013-0003,AQS,45,,Colliers Mills,34-029-0006,AQS,21,,Intermediate School 143,36-061-0115,AQS,1,,PFIZER LAB SITE,36-005-0133,AQS,6,,DIVISION STREET,36-061-0134,AQS
4/9/2017,5,,Newark Firehouse,34-013-0003,AQS,47,,Newark Firehouse,34-013-0003,AQS,61,,Chester,34-027-3001,AQS,32,,Rahway,34-039-2003,AQS,3,,PFIZER LAB SITE,36-005-0133,AQS,,,,,
4/10/2017,7,,Jersey City,34-017-1002,AQS,57,,PFIZER LAB SITE,36-005-0133,AQS,97,,Chester,34-027-3001,AQS,55,,IS 74,36-005-0112,AQS,6,,IS 52,36-005-0110,AQS,16,,Newark Firehouse,34-013-0003,AQS
4/11/2017,7,,Jersey City,34-017-1002,AQS,56,,Bayonne,34-017-0006,AQS,122,,Flemington,34-019-0001,AQS,63,,Intermediate School 143,36-061-0115,AQS,4,,Bayonne,34-017-0006,AQS,,,,,
4/12/2017,10,,Newark Firehouse,34-013-0003,AQS,78,,Elizabeth Lab,34-039-0004,AQS,54,,Colliers Mills,34-029-0006,AQS,63,,Jersey City Firehouse,34-017-1003,AQS,6,,Jersey City,34-017-1002,AQS,,,,,
4/13/2017,5,,Queens College Near Road,36-081-0125,AQS,33,,Fort Lee Near Road,34-003-0010,AQS,48,,Flemington,34-019-0001,AQS,26,,Rahway,34-039-2003,AQS,1,,Chester,34-027-3001,AQS,10,,Jersey City Firehouse,34-017-1003,AQS
4/14/2017,7,,Elizabeth,34-039-0003,AQS,43,,QUEENS COLLEGE 2,36-081-0124,AQS,61,,SUSAN WAGNER HS,36-085-0067,AQS,41,,Elizabeth Lab,34-039-0004,AQS,3,,Elizabeth,34-039-0003,AQS,,,,,
4/15/2017,6,,Jersey City,34-017-1002,AQS,56,,IS 52,36-005-0110,AQS,51,,MILLBROOK,36-027-0007,AQS,37,,Elizabeth Lab,34-039-0004,AQS,1,,Chester,34-027-3001,AQS,,,,,
